Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile
RED_s8BatTrimOffset|sint8|NVMSRV|1|0|0|REDPROD_8_NvMRamBlockDataStruct.RED_s8BatTrimOffset|0|0|Déci|-|1|1|0|Nvram|Nvram||RED_s8BatTrimOffset||4||||||||0|1||||1|0|0||0
RED_s8BatTrimGain|sint8|NVMSRV|1|0|0|REDPROD_8_NvMRamBlockDataStruct.RED_s8BatTrimGain|0|0|Déci|-|1|1|0|Nvram|Nvram||RED_s8BatTrimGain||4||||||||0|1||||1|0|0||0
PROD_au8Prod1Reserve|uint8|NVMSRV|1|1|11|PROD_1_VALEOIDENT_NvMRamBlockDataStruct.PROD_au8Prod1Reserve|0|0|Déci|-|1|1|0|Nvram|Nvram||PROD_au8Prod1Reserve||4||||||||0|1||||1|0|0||0
PROD_au8ECUSerial|uint8|NVMSRV|1|1|5|PROD_1_VALEOIDENT_NvMRamBlockDataStruct.PROD_au8ECUSerial|0|0|Déci|-|1|1|0|Nvram|Nvram||PROD_au8ECUSerial||4||||||||0|1||||1|0|0||0
PROD_au8RefCIndex|uint8|NVMSRV|1|1|2|PROD_1_VALEOIDENT_NvMRamBlockDataStruct.PROD_au8RefCIndex|0|0|Déci|-|1|1|0|Nvram|Nvram||PROD_au8RefCIndex||4||||||||0|1||||1|0|0||0
PROD_au8RefCNum|uint8|NVMSRV|1|1|5|PROD_1_VALEOIDENT_NvMRamBlockDataStruct.PROD_au8RefCNum|0|0|Déci|-|1|1|0|Nvram|Nvram||PROD_au8RefCNum||4||||||||0|1||||1|0|0||0
PROD_au8RefAIndex|uint8|NVMSRV|1|1|2|PROD_1_VALEOIDENT_NvMRamBlockDataStruct.PROD_au8RefAIndex|0|0|Déci|-|1|1|0|Nvram|Nvram||PROD_au8RefAIndex||4||||||||0|1||||1|0|0||0
PROD_au8RefANum|uint8|NVMSRV|1|1|5|PROD_1_VALEOIDENT_NvMRamBlockDataStruct.PROD_au8RefANum|0|0|Déci|-|1|1|0|Nvram|Nvram||PROD_au8RefANum||4||||||||0|1||||1|0|0||0
PROD_au8Prod2Reserve|uint8|NVMSRV|1|1|20|PROD_2_PSAIDENT_NvMRamBlockDataStruct.PROD_au8Prod2Reserve|0|0|Déci|-|1|1|0|Nvram|Nvram||PROD_au8Prod2Reserve||4||||||||0|1||||1|0|0||0
PROD_au8FuncProductNum|uint8|NVMSRV|1|1|5|PROD_2_PSAIDENT_NvMRamBlockDataStruct.PROD_au8FuncProductNum|0|0|Déci|-|1|1|0|Nvram|Nvram||PROD_au8FuncProductNum||4||||||||0|1||||1|0|0||0
