Writer channel;Writer fault;Reader channel;Reader fault;Callback
DGOHAL_udtTLE8718_OUT9;SUPPLY;DGOHAL_udtDUMP_VALVE;SUPPLY;NONE
DGOHAL_udtTLE8718_OUT9;GROUND;DGOHAL_udtDUMP_VALVE;GROUND;NONE
DGOHAL_udtTLE8718_OUT9;OPEN;DGOHAL_udtDUMP_VALVE;OPEN;NONE
DGOHAL_udtTLE8718_OUT9;OVERLOAD;DGOHAL_udtDUMP_VALVE;OVERLOAD;NONE
DGOHAL_udtTLE8718_OUT10;SUPPLY;DGOHAL_udtOIL_VAR_PUMP_VALVE;SUPPLY;NONE
DGOHAL_udtTLE8718_OUT10;GROUND;DGOHAL_udtOIL_VAR_PUMP_VALVE;GROUND;NONE
DGOHAL_udtTLE8718_OUT10;OPEN;DGOHAL_udtOIL_VAR_PUMP_VALVE;OPEN;NONE
DGOHAL_udtTLE8718_OUT10;OVERLOAD;DGOHAL_udtOIL_VAR_PUMP_VALVE;OVERLOAD;NONE
DGOHAL_udtTLE8718_OUT11;SUPPLY;DGOHAL_udtACTR_RLY;SUPPLY;NONE
DGOHAL_udtTLE8718_OUT11;GROUND;DGOHAL_udtACTR_RLY;GROUND;NONE
DGOHAL_udtTLE8718_OUT11;OPEN;DGOHAL_udtACTR_RLY;OPEN;NONE
DGOHAL_udtTLE8718_OUT11;OVERLOAD;DGOHAL_udtACTR_RLY;OVERLOAD;NONE
DGOHAL_udtTLE8718_OUT12;SUPPLY;DGOHAL_udtGMV_1;SUPPLY;NONE
DGOHAL_udtTLE8718_OUT12;GROUND;DGOHAL_udtGMV_1;GROUND;NONE
DGOHAL_udtTLE8718_OUT12;OPEN;DGOHAL_udtGMV_1;OPEN;NONE
DGOHAL_udtTLE8718_OUT12;OVERLOAD;DGOHAL_udtGMV_1;OVERLOAD;NONE
DGOHAL_udtTLE8718_OUT13;SUPPLY;DGOHAL_udtGMV_2;SUPPLY;NONE
DGOHAL_udtTLE8718_OUT13;GROUND;DGOHAL_udtGMV_2;GROUND;NONE
DGOHAL_udtTLE8718_OUT13;OPEN;DGOHAL_udtGMV_2;OPEN;NONE
DGOHAL_udtTLE8718_OUT13;OVERLOAD;DGOHAL_udtGMV_2;OVERLOAD;NONE
DGOHAL_udtTLE8718_OUT14;SUPPLY;DGOHAL_udt_AUTORISATION_REDEM_STT;SUPPLY;NONE
DGOHAL_udtTLE8718_OUT14;GROUND;DGOHAL_udt_AUTORISATION_REDEM_STT;GROUND;NONE
DGOHAL_udtTLE8718_OUT14;OPEN;DGOHAL_udt_AUTORISATION_REDEM_STT;OPEN;NONE
DGOHAL_udtTLE8718_OUT14;OVERLOAD;DGOHAL_udt_AUTORISATION_REDEM_STT;OVERLOAD;NONE
DGOHAL_udtTLE8718_OUT15;SUPPLY;DGOHAL_udtENGINE_RUNNING_OUT;SUPPLY;NONE
DGOHAL_udtTLE8718_OUT15;GROUND;DGOHAL_udtENGINE_RUNNING_OUT;GROUND;NONE
DGOHAL_udtTLE8718_OUT15;OPEN;DGOHAL_udtENGINE_RUNNING_OUT;OPEN;NONE
DGOHAL_udtTLE8718_OUT15;OVERLOAD;DGOHAL_udtENGINE_RUNNING_OUT;OVERLOAD;NONE
DGOHAL_udtTLE8718_OUT16;SUPPLY;DGOHAL_udtDMTR_HOLD_EN;SUPPLY;NONE
DGOHAL_udtTLE8718_OUT16;GROUND;DGOHAL_udtDMTR_HOLD_EN;GROUND;NONE
DGOHAL_udtTLE8718_OUT16;OPEN;DGOHAL_udtDMTR_HOLD_EN;OPEN;NONE
DGOHAL_udtTLE8718_OUT16;OVERLOAD;DGOHAL_udtDMTR_HOLD_EN;OVERLOAD;NONE
DGOHAL_udtCAMHAL;CAM_PATTERN;DGOHAL_udtINTK_CAM_POS;CAM_PATTERN;NONE
DGOHAL_udtCAMHAL;CAM_PATTERN;DGOHAL_udtCAMSHAFT;CAM_PATTERN;NONE
DGOHAL_udtTLE8718_OUT18;SUPPLY;DGOHAL_udtFUEL_PUMP_BP;SUPPLY;NONE
DGOHAL_udtTLE8718_OUT18;GROUND;DGOHAL_udtFUEL_PUMP_BP;GROUND;NONE
DGOHAL_udtTLE8718_OUT18;OPEN;DGOHAL_udtFUEL_PUMP_BP;OPEN;NONE
DGOHAL_udtTLE8718_OUT18;OVERLOAD;DGOHAL_udtFUEL_PUMP_BP;OVERLOAD;NONE
