HW COMPONENT;WRITE FRAME;INJ_PROFILE_NAME;CALIB_NAME/STATIC_VALUE
ASIC_1;FP_FRA1_PARA4;N/A;L9781_ku32FpFra1Para4Prof13
ASIC_1;FP_FRA2_PARA1;N/A;L9781_ku32FpFra2Para1Prof13
ASIC_1;FP_FRA2_PARA2;N/A;L9781_ku32FpFra2Para2Prof13
ASIC_1;FP_FRA2_PARA3;N/A;L9781_ku32FpFra2Para3Prof13
ASIC_1;FP_FRA1_PARA1;N/A;L9781_ku32FpFra1Para1Prof14
ASIC_1;FP_FRA1_PARA2;N/A;L9781_ku32FpFra1Para2Prof14
ASIC_1;FP_FRA1_PARA3;N/A;L9781_ku32FpFra1Para3Prof14
ASIC_1;FP_FRA1_PARA4;N/A;L9781_ku32FpFra1Para4Prof14
ASIC_1;FP_FRA2_PARA1;N/A;L9781_ku32FpFra2Para1Prof14
ASIC_1;FP_FRA2_PARA2;N/A;L9781_ku32FpFra2Para2Prof14
ASIC_1;FP_FRA2_PARA3;N/A;L9781_ku32FpFra2Para3Prof14
ASIC_1;FP_FRA1_PARA1;N/A;L9781_ku32FpFra1Para1Prof15
ASIC_1;FP_FRA1_PARA2;N/A;L9781_ku32FpFra1Para2Prof15
ASIC_1;FP_FRA1_PARA3;N/A;L9781_ku32FpFra1Para3Prof15
ASIC_1;FP_FRA1_PARA4;N/A;L9781_ku32FpFra1Para4Prof15
ASIC_1;FP_FRA2_PARA1;N/A;L9781_ku32FpFra2Para1Prof15
ASIC_1;FP_FRA2_PARA2;N/A;L9781_ku32FpFra2Para2Prof15
ASIC_1;FP_FRA2_PARA3;N/A;L9781_ku32FpFra2Para3Prof15
ASIC_1;FP_FRA1_PARA1;N/A;L9781_ku32FpFra1Para1Prof16
ASIC_1;FP_FRA1_PARA2;N/A;L9781_ku32FpFra1Para2Prof16
ASIC_1;FP_FRA1_PARA3;N/A;L9781_ku32FpFra1Para3Prof16
ASIC_1;FP_FRA1_PARA4;N/A;L9781_ku32FpFra1Para4Prof16
ASIC_1;FP_FRA2_PARA1;N/A;L9781_ku32FpFra2Para1Prof16
ASIC_1;FP_FRA2_PARA2;N/A;L9781_ku32FpFra2Para2Prof16
ASIC_1;FP_FRA2_PARA3;N/A;L9781_ku32FpFra2Para3Prof16
ASIC_1;FP_FRA1_PARA1;N/A;L9781_ku32FpFra1Para1Prof17
ASIC_1;FP_FRA1_PARA2;N/A;L9781_ku32FpFra1Para2Prof17
ASIC_1;FP_FRA1_PARA3;N/A;L9781_ku32FpFra1Para3Prof17
ASIC_1;FP_FRA1_PARA4;N/A;L9781_ku32FpFra1Para4Prof17
ASIC_1;FP_FRA2_PARA1;N/A;L9781_ku32FpFra2Para1Prof17
ASIC_1;FP_FRA2_PARA2;N/A;L9781_ku32FpFra2Para2Prof17
ASIC_1;FP_FRA2_PARA3;N/A;L9781_ku32FpFra2Para3Prof17
ASIC_1;FP_FRA1_PARA1;N/A;L9781_ku32FpFra1Para1Prof18
ASIC_1;FP_FRA1_PARA2;N/A;L9781_ku32FpFra1Para2Prof18
